lat,lon,local_sla_trend,class
35.25,-4.51,0.16,class_2
35.25,-4.5,-0.89,class_2
35.25,-1.67,2.2,class_3
35.26,-4.51,0.25,class_3
35.26,-1.68,1.64,class_3
35.26,-1.67,2.09,class_3
35.27,-4.52,0.59,class_3
35.27,-4.51,0.05,class_2
35.27,-1.68,2.97,class_4
35.28,-4.52,1.1,class_3
35.28,-1.69,2.55,class_4
35.29,-4.53,0.38,class_3
35.29,-1.7,3.39,class_4
35.29,-1.69,2.79,class_4
35.3,-4.54,1.0,class_3
35.3,-4.53,0.24,class_3
35.3,-1.7,2.29,class_4
35.31,-4.54,0.98,class_3
35.31,-1.71,2.92,class_4
35.31,-1.7,2.32,class_4
35.32,-4.55,0.58,class_3
35.32,-4.54,1.38,class_3
35.32,-1.71,2.28,class_3
35.32,35.74,2.59,class_4
35.33,-1.72,2.28,class_3
35.33,35.74,1.99,class_3
35.34,-1.73,2.92,class_4
35.34,-1.72,2.3,class_4
35.34,35.74,2.98,class_4
35.34,35.75,2.18,class_3
35.35,-1.73,2.2,class_3
35.35,35.75,2.5,class_4
35.36,-1.74,2.35,class_4
35.36,-1.73,1.73,class_3
35.36,35.76,2.56,class_4
35.37,-1.74,2.74,class_4
35.37,35.76,2.28,class_3
35.37,35.77,1.55,class_3
35.38,35.77,2.96,class_4
35.39,35.77,3.0,class_4
35.39,35.78,2.0,class_3
35.4,32.95,1.67,class_3
35.4,35.78,2.8,class_4
35.4,35.79,3.03,class_4
35.41,32.95,1.28,class_3
35.41,32.96,0.1,class_2
35.41,35.79,2.24,class_3
35.42,32.96,0.1,class_2
35.42,35.79,2.4,class_4
35.42,35.8,1.34,class_3
35.43,32.96,1.33,class_3
35.43,32.97,0.66,class_3
35.43,35.8,1.13,class_3
35.44,32.97,0.08,class_2
35.45,32.98,1.12,class_3
35.46,32.98,1.1,class_3
35.46,32.99,1.86,class_3
35.47,32.99,0.91,class_3
35.48,32.99,0.03,class_2
35.48,33.0,0.28,class_3
35.49,33.0,0.05,class_2
35.49,33.01,0.66,class_3
35.5,33.01,0.33,class_3
35.51,33.01,0.32,class_3
35.51,33.02,0.83,class_3
35.52,33.02,0.61,class_3
35.53,33.03,0.91,class_3
35.54,33.03,0.55,class_3
35.54,33.04,0.44,class_3
35.55,33.04,0.49,class_3
35.58,23.64,0.78,class_3
35.59,23.63,2.45,class_4
35.59,23.64,-0.29,class_2
35.6,23.62,2.9,class_4
35.6,23.63,2.15,class_3
35.61,23.62,2.56,class_4
35.62,23.61,1.88,class_3
35.62,23.62,1.91,class_3
35.63,23.61,2.57,class_4
35.64,23.6,2.32,class_4
35.65,23.59,3.74,class_4
35.65,23.6,3.43,class_4
35.66,23.59,2.67,class_4
35.67,23.58,1.34,class_3
35.67,23.59,3.35,class_4
35.68,23.58,1.68,class_3
35.69,23.57,1.28,class_3
35.7,23.56,2.01,class_3
35.7,23.57,2.36,class_4
35.71,23.56,1.85,class_3
35.72,23.55,1.36,class_3
35.72,23.56,2.16,class_3
35.95,33.29,2.13,class_3
35.96,33.29,2.64,class_4
35.97,10.62,0.01,class_2
35.97,33.3,2.02,class_3
35.98,10.63,2.05,class_3
35.98,33.3,2.46,class_4
35.98,33.31,2.13,class_3
35.99,10.63,0.9,class_3
35.99,10.64,1.25,class_3
35.99,33.31,1.63,class_3
36.0,10.64,1.9,class_3
36.0,33.32,1.96,class_3
36.01,10.64,0.89,class_3
36.01,10.65,1.75,class_3
36.01,33.32,1.81,class_3
36.01,33.33,3.02,class_4
36.02,10.65,2.13,class_3
36.02,10.66,2.43,class_4
36.02,33.33,2.18,class_3
36.03,10.66,3.14,class_4
36.03,33.33,0.98,class_3
36.03,33.34,1.85,class_3
36.04,10.66,1.31,class_3
36.04,10.67,3.06,class_4
36.04,33.34,2.4,class_4
36.05,10.67,2.62,class_4
36.05,33.35,2.57,class_4
36.06,10.68,2.16,class_3
36.06,33.35,3.02,class_4
36.06,33.36,2.42,class_4
36.07,10.68,1.99,class_3
36.07,10.69,1.42,class_3
36.07,33.36,3.23,class_4
36.08,10.69,2.4,class_4
36.08,33.36,2.32,class_4
36.08,33.37,2.49,class_4
36.09,33.37,2.69,class_4
36.09,33.38,2.89,class_4
36.1,33.38,2.92,class_4
36.16,-6.27,2.77,class_4
36.17,-6.26,2.79,class_4
36.18,-6.26,3.8,class_4
36.18,-6.25,3.51,class_4
36.19,-6.25,3.02,class_4
36.2,-6.25,3.08,class_4
36.2,-6.24,2.97,class_4
36.21,-6.24,2.95,class_4
36.21,-6.23,2.03,class_3
36.22,-6.23,2.36,class_4
36.23,-6.22,3.18,class_4
36.24,-6.22,2.38,class_4
36.24,-6.21,3.38,class_4
36.25,-6.21,2.27,class_3
36.26,-6.21,2.82,class_4
36.26,-6.2,2.8,class_4
36.27,-6.2,1.58,class_3
36.27,0.53,4.48,class_5
36.27,0.54,2.49,class_4
36.27,23.21,1.74,class_3
36.28,-6.19,3.45,class_4
36.28,0.53,4.65,class_5
36.28,23.2,1.59,class_3
36.28,23.21,0.44,class_3
36.29,0.52,2.78,class_4
36.29,23.2,2.18,class_3
36.3,0.51,3.14,class_4
36.3,0.52,3.28,class_4
36.3,23.19,1.78,class_3
36.31,0.51,2.84,class_4
36.31,23.18,2.6,class_4
36.31,23.19,1.52,class_3
36.32,0.5,3.14,class_4
36.32,0.51,2.1,class_3
36.32,23.18,2.1,class_3
36.33,0.49,1.96,class_3
36.33,0.5,3.51,class_4
36.33,23.17,2.3,class_4
36.33,23.18,3.93,class_4
36.34,0.49,2.38,class_4
36.34,23.16,2.88,class_4
36.34,23.17,2.12,class_3
36.35,0.48,2.94,class_4
36.35,0.49,2.7,class_4
36.35,23.16,1.64,class_3
36.36,0.48,3.1,class_4
36.36,23.15,2.26,class_3
36.36,23.16,1.86,class_3
36.37,0.47,2.78,class_4
36.37,23.15,2.32,class_4
36.38,0.46,3.3,class_4
36.38,0.47,2.37,class_4
36.38,23.14,2.24,class_3
36.39,0.46,2.55,class_4
36.39,23.13,1.72,class_3
36.39,23.14,0.73,class_3
36.4,0.45,2.32,class_4
36.4,0.46,2.79,class_4
36.4,23.13,1.75,class_3
36.4,27.9,3.23,class_4
36.41,0.44,1.87,class_3
36.41,0.45,2.7,class_4
36.41,27.9,3.24,class_4
36.41,27.91,2.38,class_4
36.42,0.44,2.15,class_3
36.42,27.91,2.84,class_4
36.43,27.92,2.94,class_4
36.44,27.92,2.98,class_4
36.44,27.93,3.02,class_4
36.45,22.26,1.51,class_3
36.45,27.93,3.74,class_4
36.46,22.27,1.53,class_3
36.46,27.93,3.91,class_4
36.46,27.94,2.62,class_4
36.47,22.27,0.6,class_3
36.47,22.28,1.3,class_3
36.47,27.94,2.77,class_4
36.47,27.95,3.5,class_4
36.48,22.28,1.62,class_3
36.48,27.95,3.12,class_4
36.49,22.28,0.17,class_2
36.49,22.29,1.22,class_3
36.49,27.95,3.16,class_4
36.49,27.96,2.76,class_4
36.5,22.29,1.58,class_3
36.5,22.3,2.04,class_3
36.5,27.96,2.58,class_4
36.51,22.3,1.86,class_3
36.51,27.97,2.86,class_4
36.52,22.3,2.28,class_3
36.52,22.31,2.2,class_3
36.52,27.97,2.49,class_4
36.52,27.98,1.99,class_3
36.53,22.31,2.01,class_3
36.53,27.98,2.27,class_3
36.54,22.32,2.7,class_4
36.54,27.98,2.88,class_4
36.54,27.99,2.82,class_4
36.55,22.32,2.36,class_4
36.55,22.33,-0.04,class_2
36.55,27.99,2.81,class_4
36.56,22.33,1.66,class_3
36.57,22.33,1.01,class_3
36.57,22.34,2.67,class_4
36.58,-3.17,2.34,class_4
36.58,22.34,2.86,class_4
36.58,22.35,2.89,class_4
36.58,31.52,2.32,class_4
36.59,-3.16,2.9,class_4
36.59,22.35,2.27,class_3
36.59,31.51,3.73,class_4
36.59,31.52,2.15,class_3
36.6,-3.16,2.6,class_4
36.6,-3.15,3.74,class_4
36.6,22.35,2.68,class_4
36.6,22.36,3.14,class_4
36.6,31.5,2.5,class_4
36.6,31.51,2.46,class_4
36.61,-3.15,2.21,class_3
36.61,22.36,4.04,class_4
36.61,31.5,2.01,class_3
36.62,-3.15,2.43,class_4
36.62,-3.14,1.88,class_3
36.62,31.49,2.15,class_3
36.62,31.5,2.76,class_4
36.63,-3.14,1.77,class_3
36.63,-3.13,2.18,class_3
36.63,28.65,2.02,class_3
36.63,31.49,2.56,class_4
36.64,-3.13,2.04,class_3
36.64,28.64,2.06,class_3
36.64,28.65,2.59,class_4
36.64,31.48,2.74,class_4
36.65,-3.13,2.35,class_4
36.65,-3.12,1.47,class_3
36.65,28.64,2.92,class_4
36.65,31.47,3.02,class_4
36.65,31.48,2.24,class_3
36.66,-3.12,1.52,class_3
36.66,28.63,1.45,class_3
36.66,28.64,3.08,class_4
36.66,31.46,1.78,class_3
36.66,31.47,2.04,class_3
36.67,-3.11,2.24,class_3
36.67,28.62,2.73,class_4
36.67,28.63,2.04,class_3
36.67,31.46,2.1,class_3
36.68,-3.11,2.44,class_4
36.68,-3.1,2.08,class_3
36.68,28.62,2.01,class_3
36.68,31.45,2.6,class_4
36.68,31.46,1.89,class_3
36.69,-3.1,2.64,class_4
36.69,-3.09,1.8,class_3
36.69,28.61,1.53,class_3
36.69,28.62,0.92,class_3
36.69,30.92,2.77,class_4
36.69,31.45,1.65,class_3
36.7,-3.09,1.31,class_3
36.7,28.6,2.02,class_3
36.7,28.61,2.56,class_4
36.7,30.92,2.31,class_4
36.7,30.93,1.88,class_3
36.71,-3.09,2.32,class_4
36.71,28.6,1.45,class_3
36.71,30.93,2.78,class_4
36.72,28.59,0.53,class_3
36.72,28.6,1.34,class_3
36.72,30.93,2.54,class_4
36.72,30.94,2.61,class_4
36.73,28.59,0.33,class_3
36.73,30.94,2.07,class_3
36.73,30.95,2.17,class_3
36.74,28.58,-0.05,class_2
36.74,30.95,1.84,class_3
36.75,28.57,0.1,class_2
36.75,28.58,-0.17,class_2
36.75,30.95,2.64,class_4
36.75,30.96,2.35,class_4
36.76,28.57,1.1,class_3
36.76,30.96,1.91,class_3
36.76,30.97,2.81,class_4
36.77,28.56,1.18,class_3
36.77,30.97,2.55,class_4
36.78,30.97,2.91,class_4
36.78,30.98,1.95,class_3
36.79,30.98,2.25,class_3
36.8,25.32,2.13,class_3
36.8,30.99,2.7,class_4
36.81,25.32,1.77,class_3
36.81,25.33,0.74,class_3
36.81,30.99,1.72,class_3
36.81,31.0,0.99,class_3
36.82,25.33,1.64,class_3
36.83,3.01,1.16,class_3
36.83,25.34,1.68,class_3
36.84,3.01,1.89,class_3
36.84,25.34,2.25,class_3
36.84,25.35,1.79,class_3
36.85,3.0,2.33,class_4
36.85,25.35,2.1,class_3
36.86,2.99,3.15,class_4
36.86,3.0,2.69,class_4
36.86,5.83,0.85,class_3
36.86,25.35,2.01,class_3
36.86,25.36,1.79,class_3
36.87,2.99,2.88,class_4
36.87,5.82,3.49,class_4
36.87,5.83,0.64,class_3
36.87,25.36,1.93,class_3
36.87,25.37,2.44,class_4
36.88,2.98,2.53,class_4
36.88,5.81,0.36,class_3
36.88,5.82,0.89,class_3
36.88,25.37,2.16,class_3
36.89,2.97,4.05,class_4
36.89,2.98,2.71,class_4
36.89,5.81,2.01,class_3
36.89,25.37,2.88,class_4
36.89,25.38,2.18,class_3
36.9,2.97,3.06,class_4
36.9,5.8,1.74,class_3
36.9,5.81,1.91,class_3
36.9,25.38,1.98,class_3
36.91,2.96,2.5,class_4
36.91,2.97,2.05,class_3
36.91,5.8,2.16,class_3
36.91,25.39,2.37,class_4
36.92,2.95,3.85,class_4
36.92,2.96,2.42,class_4
36.92,5.79,1.49,class_3
36.92,25.39,3.18,class_4
36.92,25.4,2.14,class_3
36.93,2.95,3.53,class_4
36.93,5.78,1.12,class_3
36.93,5.79,1.02,class_3
36.93,14.07,3.02,class_4
36.93,25.4,2.86,class_4
36.94,-8.61,2.3,class_4
36.94,2.94,2.45,class_4
36.94,2.95,3.36,class_4
36.94,5.78,1.64,class_3
36.94,14.07,3.34,class_4
36.94,25.41,2.6,class_4
36.95,-8.6,1.9,class_3
36.95,2.94,2.42,class_4
36.95,5.77,2.69,class_4
36.95,8.6,3.04,class_4
36.95,8.61,4.14,class_4
36.95,14.07,3.84,class_4
36.95,14.08,2.64,class_4
36.95,25.41,2.97,class_4
36.95,25.42,3.01,class_4
36.96,-8.6,3.02,class_4
36.96,-8.59,2.6,class_4
36.96,2.93,3.26,class_4
36.96,5.76,2.05,class_3
36.96,5.77,1.78,class_3
36.96,8.6,3.36,class_4
36.96,14.08,2.78,class_4
36.97,-8.59,2.56,class_4
36.97,2.92,2.8,class_4
36.97,2.93,3.0,class_4
36.97,5.76,2.21,class_3
36.97,8.59,2.5,class_4
36.97,8.6,4.2,class_4
36.97,14.09,2.82,class_4
36.98,-8.58,2.48,class_4
36.98,2.92,2.77,class_4
36.98,5.75,1.59,class_3
36.98,5.76,2.25,class_3
36.98,8.59,3.2,class_4
36.98,14.09,2.54,class_4
36.98,14.1,2.98,class_4
36.99,-8.58,2.1,class_3
36.99,-8.57,2.07,class_3
36.99,8.58,2.38,class_4
36.99,14.1,2.85,class_4
37.0,-8.57,2.5,class_4
37.0,8.57,2.5,class_4
